"サーバにバックドアを作り、サーバ内で侵入の痕跡を隠蔽するなどの機能をもつ不正なプログラムのパッケージはどれか。","rootkit",1
"サーバにバックドアを作り、サーバ内で侵入の痕跡を隠蔽するなどの機能をもつ不正なプログラムのパッケージはどれか。","TKIP",0
"サーバにバックドアを作り、サーバ内で侵入の痕跡を隠蔽するなどの機能をもつ不正なプログラムのパッケージはどれか。","web beacon",0

"画像などのディジタルコンテンツが不正にコピーされて転売されたものであるか判別できる対策はどれか。","タイムスタンプ",0
"画像などのディジタルコンテンツが不正にコピーされて転売されたものであるか判別できる対策はどれか。","電子透かし",1
"画像などのディジタルコンテンツが不正にコピーされて転売されたものであるか判別できる対策はどれか。","電子保存",0
"画像などのディジタルコンテンツが不正にコピーされて転売されたものであるか判別できる対策はどれか。","配達証明",0

"電子メールの送信時に、送信者を送信側のメールサーバで認証するためのものはどれか。","APOP",0
"電子メールの送信時に、送信者を送信側のメールサーバで認証するためのものはどれか。","POP3S",0
"電子メールの送信時に、送信者を送信側のメールサーバで認証するためのものはどれか。","S/MIME",0
"電子メールの送信時に、送信者を送信側のメールサーバで認証するためのものはどれか。","SMTP-AUTH",1

"ヒープソートの説明として、適切なものはどれか。","一定間隔おきに取り出した要素内でソートを繰り返していく手法",0
"ヒープソートの説明として、適切なものはどれか。","基準値を定め、「基準値より小さい値」と「基準値より大きい値」のグループに分ける。各グループ内で再度、基準値を定めソートを繰り返していく手法",0
"ヒープソートの説明として、適切なものはどれか。","未整列の部分を順序木にし、そこから最小値を取り出し整列済の部分に移す。これを繰り返すことで、全体を整列させる手法",1
"ヒープソートの説明として、適切なものはどれか。","隣り合わせのデータを比較して交換を繰り返していくシンプルな手法",0

"あるＢ木は、各節点に４個のキーを格納し、５本の枝を出す。このＢ木の根（深さのレベル０）から深さのレベル２までの節点に格納できるキーの個数は、最大で幾つか。","24",0
"あるＢ木は、各節点に４個のキーを格納し、５本の枝を出す。このＢ木の根（深さのレベル０）から深さのレベル２までの節点に格納できるキーの個数は、最大で幾つか。","31",0
"あるＢ木は、各節点に４個のキーを格納し、５本の枝を出す。このＢ木の根（深さのレベル０）から深さのレベル２までの節点に格納できるキーの個数は、最大で幾つか。","120",0
"あるＢ木は、各節点に４個のキーを格納し、５本の枝を出す。このＢ木の根（深さのレベル０）から深さのレベル２までの節点に格納できるキーの個数は、最大で幾つか。","124",1

"キーが小文字のアルファベット１文字（a, b, …, zのいずれか）であるデータを、大きさが１０のハッシュ表に格納する。ハッシュ関数として、アルファベットのＡＳＣＩＩコードを１０進数表記で表したときの１の位の数を用いることにする。衝突が起こるキーの組み合わせはどれか。ＡＳＣＩＩコードでは、昇順に連続した２進数が、アルファベット順にコードとして割り当てられている。","a-i",0
"キーが小文字のアルファベット１文字（a, b, …, zのいずれか）であるデータを、大きさが１０のハッシュ表に格納する。ハッシュ関数として、アルファベットのＡＳＣＩＩコードを１０進数表記で表したときの１の位の数を用いることにする。衝突が起こるキーの組み合わせはどれか。ＡＳＣＩＩコードでは、昇順に連続した２進数が、アルファベット順にコードとして割り当てられている。","b-r",0
"キーが小文字のアルファベット１文字（a, b, …, zのいずれか）であるデータを、大きさが１０のハッシュ表に格納する。ハッシュ関数として、アルファベットのＡＳＣＩＩコードを１０進数表記で表したときの１の位の数を用いることにする。衝突が起こるキーの組み合わせはどれか。ＡＳＣＩＩコードでは、昇順に連続した２進数が、アルファベット順にコードとして割り当てられている。","c-l",0
"キーが小文字のアルファベット１文字（a, b, …, zのいずれか）であるデータを、大きさが１０のハッシュ表に格納する。ハッシュ関数として、アルファベットのＡＳＣＩＩコードを１０進数表記で表したときの１の位の数を用いることにする。衝突が起こるキーの組み合わせはどれか。ＡＳＣＩＩコードでは、昇順に連続した２進数が、アルファベット順にコードとして割り当てられている。","d-x",1

"「-rw-r--r-」これは権限を表していますchmodコマンドの数字で言う何番でしょうか？","211",0
"「-rw-r--r-」これは権限を表していますchmodコマンドの数字で言う何番でしょうか？","311",0
"「-rw-r--r-」これは権限を表していますchmodコマンドの数字で言う何番でしょうか？","322",1
